suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,n_infer_calls,infer_ms_mean
goal,scene_0013,referential,text_only,pi05,tokens,1,False,,320,True,True,158,False,True,True,wine_bottle_1,True,,False,,,,,,plane,,,64,84.0
goal,scene_0013,referential,text_only,pi05,tokens,2,False,,320,True,True,164,False,True,True,wine_bottle_1,True,,False,,,,,,plane,,,64,86.5
goal,scene_0015,referential,text_only,pi05,tokens,0,False,,320,False,False,,True,True,True,cream_cheese_2,False,,False,0.139,,,,,plane,,,64,84.7
goal,scene_0015,referential,text_only,pi05,tokens,1,False,,320,False,False,,True,True,True,cream_cheese_2,False,,False,0.1268,,,,,plane,,,64,84.4
goal,scene_0015,referential,text_only,pi05,tokens,2,False,,320,False,False,,True,True,True,cream_cheese_2,False,,False,0.1483,,,,,plane,,,64,84.9
goal,scene_0018,directional,text_only,pi05,tokens,0,False,,320,True,True,76,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0126,,,,,plane,,,64,85.9
goal,scene_0018,directional,text_only,pi05,tokens,1,False,,320,True,True,85,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0111,,,,,plane,,,64,84.8
goal,scene_0018,directional,text_only,pi05,tokens,2,False,,320,True,True,78,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0095,,,,,plane,,,64,86.8
goal,scene_0019,directional,text_only,pi05,tokens,0,False,,320,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0076,,,,,plane,,,64,85.6
goal,scene_0019,directional,text_only,pi05,tokens,1,False,,320,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0106,,,,,plane,,,64,87.2
goal,scene_0019,directional,text_only,pi05,tokens,2,False,,320,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0088,,,,,plane,,,64,87.1
goal,scene_0025,directional,text_only,pi05,tokens,0,False,,320,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0034,,,,,plane,,,64,85.7
