suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode
spatial,scene_0009,referential,auto,oracle,tokens,2,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0331,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,ed701aea2681d2ca,4cdd11ac6a4d6ed1,,,
spatial,scene_0009,referential,auto,oracle,tokens,3,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.033,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,42850da146c52bf7,06bbb1e487ec2ed8,,,
spatial,scene_0009,referential,auto,oracle,tokens,4,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0332,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,0e4ec7c140f2f9d3,36ab156179211126,,,
spatial,scene_0009,referential,auto,oracle,tokens,5,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0332,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,bf5458fdc7a211af,f2d5cd5c62fa5ac7,,,
spatial,scene_0009,referential,auto,oracle,tokens,6,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0326,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,213f58c8419bc64c,783370d5c55f559c,,,
spatial,scene_0009,referential,auto,oracle,tokens,7,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0329,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,5b374e8e74253931,d3ebaa8def86123f,,,
spatial,scene_0009,referential,auto,oracle,tokens,8,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0331,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,c8505739e06cc58b,164e3a08c0700a6c,,,
spatial,scene_0009,referential,auto,oracle,tokens,9,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0329,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,403e20e31fe5b981,d3b344f3fcc6f7c0,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.0067,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,67db9540de0d84cc,216c8f67959875e1,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,1,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.007,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,c38e9bb2690f9e21,d4fa25a74870867e,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,2,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.0068,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,e1d60d601550364f,48064ac69d5ed123,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,3,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.0071,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,d8071014b5eba7ae,c48b7e6f9a128a77,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,4,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.0071,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,5dd9aa1047564775,52ac779a6984896c,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,5,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.0072,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,07ab3a4354170c9a,5f38c82013ac431a,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,6,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.007,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,d7d77fb2d7d50161,7144cf741670d3e0,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,7,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.008,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,ef964c3bf9b26134,8ae4943cd196571b,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,8,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.0064,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,d89c52889f978528,db2f11679c0468ab,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,9,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.007,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,2ab3a665f4a9fe53,46e0b3521ada1b4a,e3b40bfcd308632b,,,
spatial,scene_0012,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0132,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,82492353d93beba8,a7dad866de06c52d,b7cbe01d3c160cb9,,,
spatial,scene_0012,referential,auto,oracle,tokens,1,False,,200,True,True,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0129,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,82492353d93beba8,4d5e004af610987e,11a27e70b6073b1c,,,
spatial,scene_0012,referential,auto,oracle,tokens,2,False,,200,True,True,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0149,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,82492353d93beba8,3128af32b96b38ac,863948a573c517d5,,,
spatial,scene_0012,referential,auto,oracle,tokens,3,False,,200,True,True,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0129,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,82492353d93beba8,253eb36fee45f9b6,b4d2a98b1fdebb91,,,
spatial,scene_0012,referential,auto,oracle,tokens,4,False,,200,True,True,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0129,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,82492353d93beba8,9e2606aaf35b4164,998506697deecb3d,,,
spatial,scene_0012,referential,auto,oracle,tokens,5,False,,200,True,True,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.013,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,82492353d93beba8,dda78e0ba5501357,4258baf82c166640,,,
spatial,scene_0012,referential,auto,oracle,tokens,6,False,,200,True,True,166,True,True,True,akita_black_bowl_4,True,plate_1,True,0.0139,akita_black_bowl_4,plate_1,True,True,plane,0.92,0.92,82492353d93beba8,fdd3108cb05b7c16,16b77d099d2e0576,,,
